what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1346697763886
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1346697763930
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1346697763942
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1346697763974
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1346697764004
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1346697764042
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1346697764053
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1346697764074
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1346697764127
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1346697764164
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1346697764186
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1346697764222
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1346697764273
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1346697764354
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1346697764373
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1346697764411
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1346697764411
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1346697764455
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1346697764483
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1346697764501
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1346697764521
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1346697764560
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1346697764582
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1346697764615
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1346697764625
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1346697764699
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1346697764718
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1346697764728
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1346697764748
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1346697764749
os,sysinfo,,,"win32",1346697764755
arch,sysinfo,,,"x86_64",1346697764755
ws,sysinfo,,,"win32",1346697764755
locale,sysinfo,,,"en_US",1346697764755
processors,sysinfo,,,"2",1346697764755
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1346697764755
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1346697764755
java.specification.name,sysinfo,,,"Java Platform API Specification",1346697764755
java.specification.vendor,sysinfo,,,"Oracle Corporation",1346697764755
java.specification.version,sysinfo,,,"1.7",1346697764755
java.vendor,sysinfo,,,"Oracle Corporation",1346697764755
java.version,sysinfo,,,"1.7.0_03",1346697764755
java.vm.info,sysinfo,,,"mixed mode",1346697764755
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1346697764755
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1346697764755
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1346697764755
java.vm.specification.version,sysinfo,,,"1.7",1346697764755
java.vm.vendor,sysinfo,,,"Oracle Corporation",1346697764755
java.vm.version,sysinfo,,,"22.1-b02",1346697764755
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1346697765859
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1346697766508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697772186
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697787948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697792109
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697801420
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697807457
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697828691
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697831923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697836169
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346697836465
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1346697837316
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1346697837704
